MDE ID, County, Name, City, 9/18/21, 10/2/21
0001-01-001, Aitkin, Aitkin Secondary School, Aitkin, 0-4, 5-9
0011-01-426, Anoka, Andover Elementary, Andover, 5-9, 10-19
0011-01-094, Anoka, Andover High School, Andover, 0-4, 5-9
0011-31-014, Anoka, Legacy Christian Academy, Andover, 0-4, 10-19
0011-01-427, Anoka, Rum River Elementary, Andover, 0-4, 0-4
0011-01-001, Anoka, Anoka High School, Anoka, 5-9, 10-19
0011-01-003, Anoka, Anoka Middle School for the Arts, Anoka, 10-19, 20-29
0016-31-004, Anoka, Avail Academy (Blaine K-8 Campus), Blaine, 0-4, 10-19
0011-01-091, Anoka, Blaine High School, Blaine, 5-9, 10-19
0011-01-407, Anoka, Johnsville Elementary, Blaine, 0-4, 5-9
0016-01-772, Anoka, Northpoint Elementary, Blaine, 0-4, 5-9
0011-01-195, Anoka, Roosevelt Middle, Blaine, 0-4, 5-9
0011-01-431, Anoka, Sunrise Elementary, Blaine, 5-9, 5-9
0011-01-418, Anoka, University Elementary, Blaine, 5-9, 10-19
0016-01-092, Anoka, Westwood Intermediate and Middle School, Blaine, 0-4, 10-19
0015-01-784, Anoka, Cedar Creek Elementary School, Cedar, 5-9, 5-9
0012-01-511, Anoka, Centerville Elementary, Centerville, 0-4, 5-9
0012-01-510, Anoka, Centennial Elementary, Circle Pines, 0-4, 5-9
0012-01-164, Anoka, Centennial High School, Circle Pines, 10-19, 10-19
0011-01-400, Anoka, Adams Elementary, Coon Rapids, 0-4, 5-9
0011-01-002, Anoka, Coon Rapids High School, Coon Rapids, 5-9, 5-9
0011-01-004, Anoka, Coon Rapids Middle School, Coon Rapids, 0-4, 5-9
0011-01-422, Anoka, Eisenhower Elementary, Coon Rapids, 0-4, 5-9
0011-01-090, Anoka, Northdale Middle, Coon Rapids, 5-9, 10-19
0014-01-023, Anoka, Fridley Middle, Fridley, 0-4, 10-19
0014-01-022, Anoka, Fridley Senior High, Fridley, 0-4, 10-19
4185-07-010, Anoka, DaVinci Academy, Ham Lake, 5-9, 5-9
0012-01-515, Anoka, Blue Heron Elementary, Lino Lakes, 10-19, 10-19
0012-01-166, Anoka, Centennial Middle, Lino Lakes, 5-9, 20-29
0012-01-513, Anoka, Rice Lake Elementary, Lino Lakes, 5-9, 10-19
0011-01-432, Anoka, Brookside Elementary, Ramsey, 0-4, 5-9
4008-07-010, Anoka, PACT Charter School, Ramsey, 10-19, 10-19
0015-01-122, Anoka, St- Francis High, Saint Francis, 5-9, 40-49
0015-01-123, Anoka, St- Francis Middle, Saint Francis, 0-4, 20-29
0016-01-775, Anoka, Park Terrace Elementary, Spring Lake Park, 5-9, 5-9
0016-01-045, Anoka, Spring Lake Park Senior High, Spring Lake Park, 0-4, 5-9
0023-01-010, Becker, Frazee Elementary, Frazee, 0-4, 10-19
0023-01-020, Becker, Frazee Secondary, Frazee, 0-4, 5-9
2889-01-020, Becker, Lake Park Audubon Secondary, Lake Park, 0-4, 5-9
0031-01-020, Beltrami, Bemidji Senior High, Bemidji, 0-4, 5-9
0031-01-011, Beltrami, Gene Dillon Elementary School, Bemidji, 0-4, 5-9
4058-07-010, Beltrami, Schoolcraft Learning Community Chtr, Bemidji, 0-4, 10-19
0032-01-020, Beltrami, Blackduck Secondary, Blackduck, 5-9, 0-4
0047-01-006, Benton, Rice Elementary, Rice, 5-9, 0-4
0748-01-090, Benton, Riverview Intermediate School, Sartell, 5-9, 5-9
0047-01-003, Benton, Mississippi Heights Elementary, Sauk Rapids, 5-9, 5-9
0047-01-007, Benton, Pleasant View Elementary, Sauk Rapids, 5-9, 20-29
0047-01-009, Benton, Sauk Rapids-Rice Middle School, Sauk Rapids, 20-29, 60-69
0047-01-001, Benton, Sauk Rapids-Rice Senior High, Sauk Rapids, 30-39, 10-19
2903-01-010, Big Stone, Knoll Elemntary, Ortonville, 0-4, 5-9
4066-07-010, Blue Earth, Kato Public Charter School, Mankato, 0-4, 5-9
0077-01-160, Blue Earth, Mankato East Senior High, Mankato, 5-9, 5-9
0077-01-130, Blue Earth, Mankato West Senior High, Mankato, 5-9, 0-4
0077-01-080, Blue Earth, Washington Elementary, Mankato, 0-4, 0-4
0088-01-020, Brown, Jefferson Elementary, New Ulm, 0-4, 5-9
0088-01-050, Brown, New Ulm High School, New Ulm, 5-9, 0-4
0088-01-040, Brown, New Ulm Middle School, New Ulm, 0-4, 5-9
0084-01-010, Brown, Sleepy Eye Elementary, Sleepy Eye, 0-4, 0-4
0085-01-004, Brown, Springfield Public Schools ESY, Springfield, 0-4, 5-9
0085-01-001, Brown, Springfield Secondary, Springfield, 0-4, 5-9
0091-01-001, Carlton, Barnum Elementary, Barnum, 0-4, 5-9
0091-01-002, Carlton, Barnum Secondary, Barnum, 0-4, 5-9
0099-01-030, Carlton, Winterquist Elementary, Esko, 0-4, 5-9
0112-01-506, Carver, Chanhassen Elementary, Chanhassen, 0-4, 5-9
0112-01-064, Carver, Chanhassen High School, Chanhassen, 5-9, 0-4
0112-01-060, Carver, Chaska High School, Chaska, 0-4, 0-4
0112-01-062, Carver, Chaska Middle School West, Chaska, 5-9, 0-4
0112-01-063, Carver, Pioneer Ridge Middle School, Chaska, 0-4, 5-9
0112-31-117, Carver, Southwest Christian High School, Chaska, 0-4, 0-4
0276-01-175, Carver, Minnetonka West Middle, Excelsior, 0-4, 0-4
0111-31-007, Carver, Mayer Lutheran High School, Mayer, 0-4, 0-4
0108-01-040, Carver, Central Elementary, Norwood Young America, 0-4, 5-9
0110-01-120, Carver, Bayview Elementary, Waconia, 10-19, 0-4
0110-01-110, Carver, Southview Elementary, Waconia, 5-9, 0-4
0110-01-310, Carver, Waconia High School, Waconia, 0-4, 5-9
0110-01-220, Carver, Waconia Middle School, Waconia, 5-9, 10-19
0111-01-842, Carver, Watertown Mayer High, Watertown, 0-4, 10-19
0111-01-839, Carver, Watertown-Mayer Elementary School, Watertown, 5-9, 5-9
0111-01-841, Carver, Watertown-Mayer Middle, Watertown, 0-4, 5-9
0115-01-010, Cass, Cass Lake-Bena Elementary, Cass Lake, 0-4, 5-9
0116-01-010, Cass, Pillager Elementary, Pillager, 0-4, 10-19
0116-01-040, Cass, Pillager Middle School, Pillager, 0-4, 10-19
0116-01-020, Cass, Pillager Senior High School, Pillager, 0-4, 10-19
2174-01-010, Cass, Pine River-Backus Elementary, Pine River, 0-4, 10-19
2174-01-020, Cass, Pine River-Backus High School, Pine River, 0-4, 5-9
0113-01-020, Cass, Walker-Hackensack-Akeley Sec0-4, Walker, 0-4, 5-9
0113-01-010, Cass, W-H-A- Elementary, Walker, 0-4, 5-9
2180-01-002, Chippewa, MACCRAY West Elementary, Maynard, 0-4, 5-9
0129-01-030, Chippewa, Montevideo Middle, Montevideo, 5-9, 0-4
0991-83-061, Chippewa, SWWC ELC - Montevideo, Montevideo, 5-9, 0-4
2144-01-003, Chisago, Chisago Lakes Middle, Lindstrom, 5-9, 10-19
2144-01-004, Chisago, Chisago Lakes Senior High, Lindstrom, 5-9, 0-4
0138-01-020, Chisago, North Branch Middle, North Branch, 0-4, 10-19
0138-01-030, Chisago, North Branch Senior High, North Branch, 5-9, 10-19
0138-01-045, Chisago, Sunrise River Elementary, North Branch, 0-4, 10-19
0139-01-010, Chisago, C-E- Jacobson Elementary, Rush City, 0-4, 0-4
0139-01-020, Chisago, Rush City Secondary, Rush City, 0-4, 5-9
2144-01-006, Chisago, Taylors Falls Elementary, Taylors Falls, 10-19, 5-9
0146-01-010, Clay, Barnesville Elementary, Barnesville, 0-4, 5-9
2164-01-001, Clay, Dilworth Elementary, Dilworth, 0-4, 5-9
