DE ID, County, Name, City, 10/16/21, 10/30/21
0001-01-001, Aitkin, Aitkin Secondary School, Aitkin, 10-19, 0-4
0001-01-002, Aitkin, Rippleside Elementary, Aitkin, 5-9, 0-4
0011-01-426, Anoka, Andover Elementary, Andover, 5-9, 5-9
0011-01-094, Anoka, Andover High School, Andover, 10-19, 5-9
0011-01-001, Anoka, Anoka High School, Anoka, 10-19, 5-9
0011-01-003, Anoka, Anoka Middle School for the Arts, Anoka, 10-19, 5-9
0011-01-091, Anoka, Blaine High School, Blaine, 20-29, 5-9
0012-01-515, Anoka, Blue Heron Elementary, Lino Lakes, 5-9, 0-4
0015-01-784, Anoka, Cedar Creek Elementary School, Cedar, 10-19, 0-4
0012-01-510, Anoka, Centennial Elementary, Circle Pines, 5-9, 0-4
0012-01-164, Anoka, Centennial High School, Circle Pines, 10-19, 10-19
0012-01-166, Anoka, Centennial Middle, Lino Lakes, 10-19, 10-19
0016-01-776, Anoka, Centerview Elementary, Blaine, 0-4, 0-4
0012-01-511, Anoka, Centerville Elementary, Centerville, 5-9, 0-4
0013-01-017, Anoka, Columbia Academy, Columbia Heights, 0-4, 0-4
0011-01-002, Anoka, Coon Rapids High School, Coon Rapids, 0-4, 5-9
0011-01-004, Anoka, Coon Rapids Middle School, Coon Rapids, 5-9, 0-4
4185-07-010, Anoka, DaVinci Academy, Ham Lake, 0-4, 5-9
0015-01-848, Anoka, East Bethel Elementary School, Cedar, 10-19, 5-9
0014-01-023, Anoka, Fridley Middle, Fridley, 10-19, 5-9
0014-01-022, Anoka, Fridley Senior High, Fridley, 5-9, 0-4
0012-01-512, Anoka, Golden Lake Elementary, Circle Pines, 0-4, 5-9
0011-01-405, Anoka, Hoover Elementary, Coon Rapids, 5-9, 0-4
0011-01-406, Anoka, Jefferson Elementary, Blaine, 5-9, 0-4
0011-31-014, Anoka, Legacy Christian Academy, Andover, 10-19, 0-4
0831-01-628, Anoka, Lino Lakes Elementary, Lino Lakes, 0-4, 0-4
0011-01-411, Anoka, McKinley Elementary, Ham Lake, 0-4, 5-9
0011-01-090, Anoka, Northdale Middle, Coon Rapids, 5-9, 0-4
0016-01-772, Anoka, Northpoint Elementary, Blaine, 5-9, 0-4
0011-01-193, Anoka, Oak View Middle, Andover, 5-9, 0-4
4008-07-010, Anoka, PACT Charter School, Ramsey, 0-4, 0-4
4213-07-010, Anoka, Prodeo Academy, Columbia Heights, 5-9, 0-4
0012-01-513, Anoka, Rice Lake Elementary, Lino Lakes, 0-4, 10-19
0011-01-427, Anoka, Rum River Elementary, Andover, 0-4, 5-9
0011-01-417, Anoka, Sand Creek Elementary, Coon Rapids, 0-4, 0-4
0016-01-045, Anoka, Spring Lake Park Senior High, Spring Lake Park, 10-19, 5-9
0015-01-782, Anoka, St. Francis Elementary, Saint Francis, 5-9, 5-9
0015-01-122, Anoka, St. Francis High, Saint Francis, 20-29, 0-4
0015-01-123, Anoka, St. Francis Middle, Saint Francis, 5-9, 5-9
0014-01-550, Anoka, Stevenson Elementary, Fridley, 5-9, 0-4
0011-01-431, Anoka, Sunrise Elementary, Blaine, 0-4, 0-4
0014-31-002, Anoka, Totino Grace High School, Fridley, 0-4, 0-4
0016-01-092, Anoka, Westwood Intermediate and Middle School, Blaine, 0-4, 0-4
0022-01-003, Becker, Detroit Lakes Senior High, Detroit Lakes, 0-4, 0-4
0023-01-010, Becker, Frazee Elementary, Frazee, 0-4, 5-9
