MDE ID,County,Name,City,12/11/21,12/25/21,01/08/22,01/22/22
0004-01-040,Aitkin,McGregor Secondary,McGregor,10-19,0-4,0-4,0-4
0011-01-426,Anoka,Andover Elementary,Andover,5-9,0-4,0-4,0-4
0011-01-001,Anoka,Anoka High School,Anoka,5-9,0-4,5-9,0-4
0011-01-003,Anoka,Anoka Middle School for the Arts,Anoka,0-4,5-9,0-4,0-4
0011-01-091,Anoka,Blaine High School,Blaine,5-9,5-9,0-4,0-4
0012-01-515,Anoka,Blue Heron Elementary,Lino Lakes,5-9,0-4,0-4,0-4
0011-01-432,Anoka,Brookside Elementary,Ramsey,5-9,0-4,0-4,0-4
0012-01-164,Anoka,Centennial High School,Circle Pines,10-19,5-9,0-4,0-4
0012-01-166,Anoka,Centennial Middle,Lino Lakes,5-9,5-9,5-9,0-4
0016-01-776,Anoka,Centerview Elementary,Blaine,5-9,0-4,0-4,0-4
0012-01-511,Anoka,Centerville Elementary,Centerville,5-9,0-4,0-4,0-4
0013-01-016,Anoka,Columbia Heights Senior High,Columbia Heights,5-9,0-4,0-4,0-4
0011-01-002,Anoka,Coon Rapids High School,Coon Rapids,5-9,0-4,0-4,0-4
0011-01-004,Anoka,Coon Rapids Middle School,Coon Rapids,10-19,0-4,0-4,0-4
4185-07-010,Anoka,DaVinci Academy,Ham Lake,5-9,5-9,0-4,0-4
0015-01-848,Anoka,East Bethel Elementary School,Cedar,5-9,0-4,0-4,0-4
0014-01-023,Anoka,Fridley Middle,Fridley,5-9,0-4,0-4,0-4
0014-01-022,Anoka,Fridley Senior High,Fridley,5-9,0-4,0-4,0-4
0012-01-512,Anoka,Golden Lake Elementary,Circle Pines,5-9,0-4,0-4,0-4
0011-01-406,Anoka,Jefferson Elementary,Blaine,5-9,0-4,0-4,0-4
0011-01-090,Anoka,Northdale Middle,Coon Rapids,0-4,5-9,0-4,0-4
0011-01-193,Anoka,Oak View Middle,Andover,5-9,0-4,0-4,0-4
4104-07-010,Anoka,Paladin Career and Technical High School,Blaine,5-9,0-4,0-4,0-4
0011-01-423,Anoka,Ramsey Elementary,Ramsey,5-9,0-4,0-4,0-4
0012-01-513,Anoka,Rice Lake Elementary,Lino Lakes,0-4,5-9,0-4,0-4
0016-01-045,Anoka,Spring Lake Park Senior High,Spring Lake Park,10-19,5-9,0-4,0-4
0015-01-122,Anoka,St. Francis High,Saint Francis,5-9,0-4,0-4,0-4
0015-01-123,Anoka,St. Francis Middle,Saint Francis,5-9,0-4,0-4,0-4
0011-01-431,Anoka,Sunrise Elementary,Blaine,5-9,0-4,0-4,0-4
0014-31-002,Anoka,Totino Grace High School,Fridley,0-4,0-4,5-9,0-4
