District,School,County,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25
Aitkin Public School District,Aitkin Secondary School,Aitkin,591,8064,4,13,32,36,45,49,53,57
Aitkin Public School District,Rippleside Elementary,Aitkin,518,127,0,0,9,13,32,51,55,59
Minneapolis Public School District,Armatage Elementary,Hennepin,527,63,0,0,0,0,0,0,0,0
Minneapolis Public School District,Lake Harriet Lower Elementary,Hennepin,455,15,0,0,0,0,0,0,0,0
Minneapolis Public School District,Bancroft Elementary,Hennepin,494,63,0,0,0,0,4,13,17,21
Minneapolis Public School District,Barton Open Elementary,Hennepin,624,511,9,28,28,32,41,45,49,53
Minneapolis Public School District,Bethune Elementary,Hennepin,298,63,0,0,4,8,17,21,25,29
Minneapolis Public School District,Burroughs Elementary,Hennepin,670,63,4,8,17,21,25,25,25,25
Minneapolis Public School District,Field Community,Hennepin,467,480,0,0,4,8,17,21,25,29
Minneapolis Public School District,Lake Harriet Upper School,Hennepin,566,496,0,0,4,8,17,26,30,34
Minneapolis Public School District,Hale Elementary,Hennepin,584,31,0,0,0,0,0,0,0,0
Minneapolis Public School District,Hiawatha Elementary,Hennepin,220,7,0,0,0,0,0,0,0,0
Minneapolis Public School District,Howe Elementary,Hennepin,211,56,0,0,0,0,0,0,0,0
Minneapolis Public School District,Lake Nokomis Comm-Keewaydin Campus,Hennepin,469,504,0,0,0,0,0,0,0,0
Minneapolis Public School District,Kenny Elementary,Hennepin,412,63,4,13,13,13,17,17,17,17
Minneapolis Public School District,Kenwood Elementary,Hennepin,354,63,4,13,13,13,17,17,17,17
Minneapolis Public School District,Loring Elementary,Hennepin,389,63,0,0,0,0,0,0,0,0
Minneapolis Public School District,Lyndale Elementary,Hennepin,471,63,0,0,0,0,0,0,0,0
Minneapolis Public School District,Jenny Lind Elementary,Hennepin,326,63,0,0,0,0,0,0,0,0
Minneapolis Public School District,Northrop Elementary,Hennepin,447,63,0,0,0,0,0,0,0,0
Minneapolis Public School District,Pillsbury Elementary,Hennepin,252,63,0,0,4,8,12,31,35,39
Minneapolis Public School District,Pratt Elementary,Hennepin,270,63,4,8,17,21,40,40,40,40
Minneapolis Public School District,Seward Elementary,Hennepin,793,511,4,8,17,21,25,25,25,25
Minneapolis Public School District,Sheridan Elementary,Hennepin,263,63,0,0,9,13,17,17,17,17
Minneapolis Public School District,Waite Park Elementary,Hennepin,355,63,0,0,0,4,8,17,21,25
Minneapolis Public School District,Lake Nokomis Comm-Wenonah Campus,Hennepin,248,7,0,0,0,0,0,0,0,0
Minneapolis Public School District,Windom School,Hennepin,509,63,4,13,13,13,17,17,17,17
