District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Aitkin Public School District,Aitkin Secondary School,Aitkin,Public,591,8064,0,5,15,15,20,20,20,20,20,20,20
Aitkin Public School District,Rippleside Elementary,Aitkin,Public,518,127,0,0,5,5,15,25,25,25,25,25,25
Aitkin Public School District,Aitkin Alternative Learning Program,Aitkin,Public,12,7168,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Armatage Elementary,Hennepin,Public,527,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Lake Harriet Lower Elementary,Hennepin,Public,455,15,0,0,0,0,0,5,5,5,5,5,5
Minneapolis Public School District,Bancroft Elementary,Hennepin,Public,494,63,0,0,0,0,0,5,5,5,5,5,5
Minneapolis Public School District,Barton Open Elementary,Hennepin,Public,624,511,5,15,15,15,20,20,20,20,20,20,20
Minneapolis Public School District,Bethune Elementary,Hennepin,Public,298,63,0,0,0,0,5,5,5,5,10,10,10
Minneapolis Public School District,Burroughs Elementary,Hennepin,Public,670,63,0,0,5,5,5,5,5,5,10,10,10
Minneapolis Public School District,Field Community,Hennepin,Public,467,480,0,0,0,0,5,5,5,5,5,5,5
Minneapolis Public School District,Lake Harriet Upper School,Hennepin,Public,566,496,0,0,0,0,5,10,10,10,15,15,15
Minneapolis Public School District,Hale Elementary,Hennepin,Public,584,31,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Hiawatha Elementary,Hennepin,Public,220,7,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Howe Elementary,Hennepin,Public,211,56,0,0,0,0,0,0,5,5,5,5,5
Minneapolis Public School District,Lake Nokomis Comm-Keewaydin Campus,Hennepin,Public,469,504,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Kenny Elementary,Hennepin,Public,412,63,0,5,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Kenwood Elementary,Hennepin,Public,354,63,0,5,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Loring Elementary,Hennepin,Public,389,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Lyndale Elementary,Hennepin,Public,471,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Jenny Lind Elementary,Hennepin,Public,326,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Northrop Elementary,Hennepin,Public,447,63,0,0,0,0,0,0,0,0,0,5,5
Minneapolis Public School District,Pillsbury Elementary,Hennepin,Public,252,63,0,0,0,0,0,10,10,10,10,10,10
Minneapolis Public School District,Pratt Elementary,Hennepin,Public,270,63,0,0,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Seward Elementary,Hennepin,Public,793,511,0,0,5,5,5,5,5,5,5,10,10
Minneapolis Public School District,Sheridan Elementary,Hennepin,Public,263,63,0,0,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Waite Park Elementary,Hennepin,Public,355,63,0,0,0,0,0,5,5,5,5,5,5
Minneapolis Public School District,Lake Nokomis Comm-Wenonah Campus,Hennepin,Public,248,7,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Windom School,Hennepin,Public,509,63,0,5,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Folwell Arts Magnet,Hennepin,Public,731,511,0,0,0,0,0,0,5,5,5,5,5
Minneapolis Public School District,Jefferson Elementary,Hennepin,Public,403,511,5,5,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Dowling Elementary,Hennepin,Public,462,63,0,5,5,5,5,5,5,5,5,5,5
