DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
20-21	1	33	Minneapolis Public School District 	9	DELASALLE HIGH SCHOOL              	0	0	0	0	0	0	0	0	0	178	188	174	179	0	719	719	112	74	186	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	11	ANNUNCIATION                       	40	40	36	39	38	35	38	31	40	0	0	0	0	226	71	337	7	17	24	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	12	ASCENSION CATHOLIC SCHOOL          	30	17	30	35	34	34	38	42	38	0	0	0	0	188	80	298	157	42	199	43	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	13	BLAKE SCHOOL                       	0	0	0	0	0	0	0	0	0	135	137	134	135	0	541	541	0	0	0	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	15	RISEN CHRIST                       	34	38	32	43	28	27	44	36	40	0	0	0	0	212	76	322	232	47	279	239	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	17	LAKE COUNTRY SCHOOL                	25	26	32	25	24	32	31	26	26	0	0	0	0	170	52	247	0	0	0	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	18	MINNEHAHA ACADEMY - UPPER SCHOOL   	0	0	0	0	0	0	0	0	0	88	94	79	99	0	360	360	7	15	22	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	36	ST. HELENA CATHOLIC SCHOOL         	20	14	10	9	12	14	17	9	15	0	0	0	0	76	24	120	16	22	38	43	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	42	TRINITY FIRST LUTHERAN SCHOOL      	14	13	15	11	5	11	9	9	6	0	0	0	0	64	15	93	53	20	73	4	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	44	CARONDELET CATHOLIC SCHOOL         	38	31	45	33	40	41	55	38	47	0	0	0	0	245	85	368	5	0	5	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	45	St John Paul II Catholic Prep Sch  	15	15	17	15	19	13	13	17	19	0	0	0	0	92	36	143	70	45	115	113	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	47	OUR LADY OF PEACE                  	18	18	18	18	18	17	18	15	16	0	0	0	0	107	31	156	14	18	32	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	59	MINNEHAHA ACADEMY MID&LOWER SCHOOLS	52	41	39	39	35	58	65	66	72	0	0	0	0	277	138	467	18	32	50	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	69	CITY OF LAKES WALDORF SCHOOL       	40	28	18	27	28	20	20	17	21	0	0	0	0	141	38	219	5	16	21	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	894	HOPE ACADEMY                       	49	49	55	47	54	55	32	41	42	40	33	26	21	292	203	544	285	121	406	101	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	918	CRISTO REY JESUIT HIGH SCHOOL      	0	0	0	0	0	0	0	0	0	129	137	108	112	0	486	486	268	119	387	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	935	Gaia Democratic School             	1	0	0	1	3	1	1	2	1	4	2	4	3	6	16	23	13	2	15	0	27	Hennepin                                     	11 
20-21	1	33	Minneapolis Public School District 	936	Iqra Islamic School                	3	5	3	4	0	0	0	0	0	0	0	0	0	12	0	15	9	2	11	5	27	Hennepin                                     	11 
20-21	6	33	South St. Paul Public School Dist	2	HOLY TRINITY                       	13	15	19	17	11	21	11	14	12	0	0	0	0	94	26	133	13	19	32	12	19	Dakota                                       	11 
20-21	11	31	ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 	12	CROSS OF CHRIST LUTHERAN           	11	8	7	14	7	11	9	8	11	0	0	0	0	56	19	86	0	0	0	0	2	Anoka                                        	11 
20-21	11	31	ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 	13	Epiphany Catholic School           	38	36	29	28	24	28	30	26	39	0	0	0	0	175	65	278	20	19	39	0	2	Anoka                                        	11 
20-21	11	31	ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 	14	LEGACY CHRISTIAN ACADEMY           	48	51	39	49	34	38	52	29	53	48	49	31	38	263	248	559	0	0	0	0	2	Anoka                                        	11 
20-21	11	31	ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 	16	ST. STEPHEN                        	52	48	48	45	47	29	28	33	29	0	0	0	0	245	62	359	14	17	31	0	2	Anoka                                        	11 
20-21	11	31	ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 	19	ANOKA ADVENTIST CHRISTIAN          	0	0	0	2	3	1	1	0	2	0	0	0	0	7	2	9	0	0	0	0	2	Anoka                                        	11 
20-21	11	31	ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 	25	NORTHSIDE CHRISTIAN (BLAINE CAMPUS)	8	14	9	13	7	10	4	6	7	0	0	1	0	57	14	79	0	0	0	0	2	Anoka                                        	11 
