0001-01-001,Aitkin Public School District,Aitkin Secondary School,Aitkin,591
0001-01-002,Aitkin Public School District,Rippleside Elementary,Aitkin,518
0001-01-006,Aitkin Public School District,Aitkin Alternative Learning Program,Aitkin,12
0001-03-103,Minneapolis Public School District,Armatage Elementary,Hennepin,527
0001-03-104,Minneapolis Public School District,Lake Harriet Lower Elementary,Hennepin,455
0001-03-105,Minneapolis Public School District,Bancroft Elementary,Hennepin,494
0001-03-106,Minneapolis Public School District,Barton Open Elementary,Hennepin,624
0001-03-107,Minneapolis Public School District,Bethune Elementary,Hennepin,298
0001-03-110,Minneapolis Public School District,Burroughs Elementary,Hennepin,670
0001-03-119,Minneapolis Public School District,Field Community,Hennepin,467
0001-03-121,Minneapolis Public School District,Lake Harriet Upper School,Hennepin,566
0001-03-123,Minneapolis Public School District,Hale Elementary,Hennepin,584
0001-03-130,Minneapolis Public School District,Hiawatha Elementary,Hennepin,220
0001-03-132,Minneapolis Public School District,Howe Elementary,Hennepin,211
0001-03-134,Minneapolis Public School District,Lake Nokomis Comm-Keewaydin Campus,Hennepin,469
0001-03-135,Minneapolis Public School District,Kenny Elementary,Hennepin,412
0001-03-136,Minneapolis Public School District,Kenwood Elementary,Hennepin,354
0001-03-140,Minneapolis Public School District,Loring Elementary,Hennepin,389
0001-03-144,Minneapolis Public School District,Lyndale Elementary,Hennepin,471
0001-03-151,Minneapolis Public School District,Jenny Lind Elementary,Hennepin,326
0001-03-152,Minneapolis Public School District,Northrop Elementary,Hennepin,447
0001-03-155,Minneapolis Public School District,Pillsbury Elementary,Hennepin,252
0001-03-156,Minneapolis Public School District,Pratt Elementary,Hennepin,270
0001-03-160,Minneapolis Public School District,Seward Elementary,Hennepin,793
0001-03-161,Minneapolis Public School District,Sheridan Elementary,Hennepin,263
0001-03-165,Minneapolis Public School District,Waite Park Elementary,Hennepin,355
0001-03-167,Minneapolis Public School District,Lake Nokomis Comm-Wenonah Campus,Hennepin,248
0001-03-170,Minneapolis Public School District,Windom School,Hennepin,509
0001-03-175,Minneapolis Public School District,Folwell Arts Magnet,Hennepin,731
0001-03-179,Minneapolis Public School District,Jefferson Elementary,Hennepin,403
0001-03-180,Minneapolis Public School District,Dowling Elementary,Hennepin,462
0001-03-183,Minneapolis Public School District,ECSE,Hennepin,419
0001-03-190,Minneapolis Public School District,Andersen Community,Hennepin,747
0001-03-193,Minneapolis Public School District,Sullivan Elementary,Hennepin,497
0001-03-215,Minneapolis Public School District,Webster Elementary,Hennepin,315
0001-03-225,Minneapolis Public School District,Anishinabe Academy,Hennepin,205
0001-03-226,Minneapolis Public School District,Marcy Open Elementary,Hennepin,669
0001-03-230,Minneapolis Public School District,Prekindergarten North,Hennepin,6
0001-03-231,Minneapolis Public School District,Prekindergarten South,Hennepin,2
0001-03-249,Minneapolis Public School District,Bryn Mawr Elementary,Hennepin,291
0001-03-256,Minneapolis Public School District,Green Central Park Elementary,Hennepin,328
0001-03-260,Minneapolis Public School District,Emerson Elementary,Hennepin,450
0001-03-282,Minneapolis Public School District,Lucy Laney @ Cleveland Park Elem,Hennepin,459
0001-03-287,Minneapolis Public School District,Hall International,Hennepin,208
0001-03-288,Minneapolis Public School District,Nellie Stone Johnson Elementary,Hennepin,368
0001-03-289,Minneapolis Public School District,Whittier International,Hennepin,447
0001-03-291,Minneapolis Public School District,Hmong International Academy,Hennepin,489
0001-03-293,Minneapolis Public School District,Cityview Community,Hennepin,282
0001-03-300,Minneapolis Public School District,Anthony Middle School,Hennepin,693
0001-03-309,Minneapolis Public School District,Anwatin Middle Com & Spanish D I,Hennepin,548
0001-03-316,Minneapolis Public School District,Northeast Middle,Hennepin,455
0001-03-318,Minneapolis Public School District,Olson Middle,Hennepin,390
0001-03-323,Minneapolis Public School District,Justice Page Middle School,Hennepin,799
0001-03-324,Minneapolis Public School District,Sanford Middle,Hennepin,933
0001-03-327,Minneapolis Public School District,Franklin Middle School,Hennepin,326
0001-03-346,Minneapolis Public School District,MACC,Hennepin,21
0001-03-347,Minneapolis Public School District,FAIR Senior High,Hennepin,284
0001-03-348,Minneapolis Public School District,MERC,Hennepin,57
0001-03-349,Minneapolis Public School District,Loring-Nicollet High,Hennepin,55
0001-03-352,Minneapolis Public School District,Edison Senior High,Hennepin,938
0001-03-353,Minneapolis Public School District,Longfellow Alternative,Hennepin,74
