Data Year	County Number	County Name	District Number	District Type	District Name	School Number	School Name	ECSU Number	Economic Development Region	School Classification	Grade	Total Enrollment	Filter Groups	Total Female Count	Total Female Percent	Total Male Count	Total Male Percent	Total American Indian or Alaska Native Count	Total American Indian or Alaska Native Percent	American Indian or Alaska Native Female Count	American Indian or Alaska Native Male Count	Total Asian Count	Total Asian Percent	Asian Female Count	Asian Male Count	Total Native Hawaiian or Pacific Islander Count	Total Native Hawaiian or Pacific Islander Percent	Native Hawaiian or Pacific Islander Female Count	Native Hawaiian or Pacific Islander Male Count	Total Hispanic or Latino Count	Total Hispanic or Latino Percent	Hispanic or Latino Female Count	Hispanic or Latino Male Count	Total Black or African American Count	Total Black or African American Percent	Black or African American Female Count	Black or African American Male Count	Total White Count	Total White Percent	White Female Count	White Male Count	Total Two or More Races Count	Total Two or More Races Percent	Two or More Races Female Count	Two or More Races Male Count	Total Students of Color or American Indian Count	Total Students of Color or American Indian Percent	Total Students Eligible for Free or Reduced Priced Meals Count	Total Students Eligible for Free or Reduced Priced Meals Percent	Total Students Receiving Special Education Services Count	Total Students Receiving Special Education Services Percent	Total English Learner Identified Count	Total English Learner Identified Percent	Total Students Experiencing Homelessness Count	Total Students Experiencing Homelessness Percent	Additional Suppression Free or Reduced Priced Meals Applied	Additional Suppression Special Education Applied	Additional Suppression English Learner Identified Applied	Additional Suppression Homeless Applied
20-21	1	Aitkin	1	1	Aitkin Public School District	1	Aitkin Secondary School	3	3	33	7	93	N	51	54.84%	42	45.16%	1	1.08%	0	1	2	2.15%	2	0	0	0.00%	0	0	1	1.08%	0	1	1	1.08%	0	1	85	91.40%	47	38	3	3.23%	2	1	8	8.60%	29	31.18%	16	17.20%	1	1.08%	0	0.00%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	1	Aitkin Secondary School	3	3	33	8	96	N	45	46.88%	51	53.13%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	3	3.13%	1	2	0	0.00%	0	0	91	94.79%	44	47	2	2.08%	0	2	5	5.21%	36	37.50%	13	13.54%	0	0.00%	0	0.00%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	1	Aitkin Secondary School	3	3	33	9	90	N	50	55.56%	40	44.44%	2	2.22%	0	2	0	0.00%	0	0	0	0.00%	0	0	1	1.11%	0	1	2	2.22%	1	1	82	91.11%	47	35	3	3.33%	2	1	8	8.89%	30	33.33%	15	16.67%	0	0.00%	0	0.00%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	1	Aitkin Secondary School	3	3	33	10	101	N	40	39.60%	61	60.40%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	0.99%	1	0	3	2.97%	1	2	93	92.08%	37	56	4	3.96%	1	3	8	7.92%									Y	Y	Y	Y
20-21	1	Aitkin	1	1	Aitkin Public School District	1	Aitkin Secondary School	3	3	33	11	105	N	49	46.67%	56	53.33%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	3	2.86%	1	2	0	0.00%	0	0	95	90.48%	43	52	7	6.67%	5	2	10	9.52%									Y	Y	Y	Y
20-21	1	Aitkin	1	1	Aitkin Public School District	1	Aitkin Secondary School	3	3	33	12	106	N	52	49.06%	54	50.94%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	1.89%	1	1	2	1.89%	2	0	99	93.40%	47	52	3	2.83%	2	1	7	6.60%									Y	Y	Y	Y
20-21	1	Aitkin	1	1	Aitkin Public School District	1	Aitkin Secondary School	3	3	33	All Grades	591	N	287	48.56%	304	51.44%	3	0.51%	0	3	2	0.34%	2	0	0	0.00%	0	0	11	1.86%	4	7	8	1.35%	4	4	545	92.22%	265	280	22	3.72%	12	10	46	7.78%	189	31.98%	97	16.41%	2	0.34%	1	0.17%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	2	Rippleside Elementary	3	3	10	ECSE	14	N	5	35.71%	9	64.29%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	14	100.00%	5	9	0	0.00%	0	0	0	0.00%	9	64.29%		>=90%	0	0.00%	0	0.00%	N	Y	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	2	Rippleside Elementary	3	3	10	KG	64	N	30	46.88%	34	53.13%	1	1.56%	1	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	60	93.75%	29	31	3	4.69%	0	3	4	6.25%	22	34.38%	10	15.63%	0	0.00%	0	0.00%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	2	Rippleside Elementary	3	3	10	1	63	N	31	49.21%	32	50.79%	1	1.59%	1	0	0	0.00%	0	0	0	0.00%	0	0	1	1.59%	1	0	3	4.76%	1	2	51	80.95%	24	27	7	11.11%	4	3	12	19.05%	22	34.92%	15	23.81%	0	0.00%	0	0.00%	N	N	N	N
